government,topic,median,upper,lower
4,25,-2.2897855652993275,-0.4355276207677556,-3.8265813809750506
4,26,-2.0588491707260292,-0.48605949189561776,-3.535938978391926
4,27,-2.299755365314345,-0.5759466267182006,-3.715300956752648
4,28,-1.7109101099189457,0.25109316791693115,-3.058864595085415
4,29,-2.12078720076121,-0.3142162359506417,-3.4072279173085307
4,30,-1.9287095444005256,-0.5492458362040061,-3.677179606201461
4,31,-2.0421407788368997,-0.27080714760953273,-3.5311450275150458
4,32,-1.7239233235569276,0.17502417134832204,-3.008907318715784
4,33,-2.1997019675827474,-0.7511078962440321,-4.0002994132672
4,34,-1.664978933122189,-0.15339360122876733,-3.4241726194616118
4,35,-2.0229018950422546,-0.45777075270315487,-3.7108070250941596
4,36,-1.0747184955126179,0.4013775334707537,-2.7858724977090326
4,37,-1.8059753036821034,-0.2456308991879959,-3.583816401327737
4,38,-1.8219926514880307,-0.17300840911895168,-3.572277358274453
4,39,-1.9013292824308365,-0.4181264433954576,-3.6371008068790953
4,40,-1.4754220128926199,0.2975614845914778,-2.9786459523858
4,41,-1.2896628229251066,0.1955568094881975,-3.049638347332805
4,42,-1.9867450985665296,-0.20842349598703905,-3.4937072956385835
4,43,-2.3209836505604216,-0.5230160256170994,-3.730576567083898
4,44,-2.161153421747021,-0.5336450987861544,-3.791712972487959
4,45,-1.628454284915946,0.03879125751964772,-3.236609926586477
4,46,-2.2147806278543083,-0.3926592617693895,-3.694275391583914
4,47,-2.353052666453616,-0.8280870470547932,-4.030844709818254
4,48,-1.6330229360460455,-0.16989204224095805,-3.2239894896958834
4,49,-1.5285751980723654,0.025489971455911885,-3.1044968119508862
4,50,-1.20817027240295,0.3754912411242371,-2.744733958002232
4,51,-1.6331119703460792,0.05297595908743153,-3.122935076590186
4,52,-1.345277045338797,0.5350572694201711,-2.73975328066043
4,53,-2.49887025136477,-0.90912529315704,-4.20736798994244
4,54,-1.7836270567598498,-0.0803318072415607,-3.3924820983950723
4,55,-1.063808047691554,0.5243828386496511,-2.696054207924147
4,56,-2.1826249174727232,-0.5013263297753986,-3.7535325314443515
4,57,-1.5369003810060409,0.14638570888775065,-3.043139933974051
4,58,-1.9022723430829491,-0.32165039425869124,-3.6071478613016357
4,59,0.6165866364842784,2.2042656112055536,-0.9164611970627563
4,60,-1.3774206712050496,0.34747533969601196,-2.8345822778804206
5,1,-1.144484546081729,-0.9443314187613997,-1.3476570213300565
5,2,-1.903639966263013,-1.7243580554453013,-2.1128967733279
