sitting,topic,government,median,upper,lower
1,39,1,-2.131351523810504,-1.9067470786040452,-2.3640461619244126
1,40,1,-1.6013274811720737,-1.379846917465449,-1.8256312786496365
1,41,1,-1.2890538072718742,-1.0518203747147168,-1.4931738051054673
1,42,1,-1.922308792512272,-1.6989499411592406,-2.16694459065812
1,43,1,-2.1380568047829964,-1.9069901560046087,-2.3570382734746538
1,44,1,-2.1629096375316594,-1.9507367967678224,-2.3871269481085085
1,45,1,-1.6055686080308815,-1.3748533335074389,-1.8574272365882127
1,46,1,-2.067496750768091,-1.8306287405231498,-2.288494805498731
1,47,1,-2.38607432974126,-2.148752974733067,-2.5978796078638053
1,48,1,-1.9732329530803607,-1.7511797132800484,-2.189821071847194
1,49,1,-1.843422521534404,-1.6130389379335763,-2.082564228893571
1,50,1,-1.6195342633813736,-1.3875250664700944,-1.8794612619924396
1,51,1,-1.5577082487849085,-1.3424089029825261,-1.8008857798273201
1,52,1,-1.4035627133329003,-1.191011600186498,-1.6286927659674164
1,53,1,-2.375181048498267,-2.14507664950511,-2.6101372157752754
1,54,1,-1.7829780652773017,-1.5600952481351926,-2.0196667188637103
1,55,1,-1.471424863373912,-1.2532821210454137,-1.693616230246473
1,56,1,-2.072677986656714,-1.8654430733415277,-2.2818460066946273
1,57,1,-0.6303527350771796,-0.4281980850711243,-0.8506383775166186
1,58,1,-2.052728546916206,-1.8463118592499261,-2.2630727049089754
1,59,1,0.2316955010819769,0.43492314115236397,0.013754797760479344
1,60,1,-1.4420700389675154,-1.2296986358447402,-1.6704008519892077
2,1,1,-1.3540248309217378,-1.160629169716048,-1.5430333444407942
2,2,1,-1.9066605987483518,-1.7253978449891636,-2.106812560467923
2,3,1,-1.8311241515747372,-1.6516127093988193,-2.0153229494814653
2,4,1,-2.306658116674332,-2.1167447130412778,-2.510775097499834
2,5,1,-0.6680254643783928,-0.4970496024556929,-0.85448374640793745
2,6,1,-1.72655428441439,-1.5579254529038518,-1.9158979549029933
2,7,1,-1.9897926911940322,-1.810023715892052,-2.200071985812018
2,8,1,-1.6885727153021497,-1.4905616648613251,-1.870432992872166
2,9,1,-2.4727576696746736,-2.2821688530578874,-2.6721517737279417
2,10,1,-1.610755701318351,-1.4137568676913896,-1.8093249488092824
2,11,1,-1.7215197945869551,-1.5261440111211313,-1.9163281640851901
2,12,1,-2.1237424935754614,-1.9415181623828786,-2.3283826286313243
2,13,1,-0.5629265193484323,-0.3827174833252991,-0.7574428113400522
