uniqueID,division,state,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
bellgeorge1919,Darwin,TAS,1925-11-14,14,11,1925,No,Retired,NA,1943-07-07,1943,7,7,Name of Darwin electorate changed to Braddon by resolution of Parliament following the redistribution of electoral boundaries 1955.
bennettadrian1969,Swan,WA,1969-10-25,25,10,1969,No,Defeated,NA,1975-12-13,1975,12,13,NA
bennettbenjamin1912,Werriwa,NSW,1912-06-01,1,6,1912,Yes,Retired,NA,1913-04-23,1913,4,23,NA
bennettjames1913,Gippsland,VIC,1913-05-31,31,5,1913,No,Defeated,NA,1914-09-05,1914,9,5,NA
bensonsamuel1962,Batman,VIC,1962-09-01,1,9,1962,Yes,Retired,NA,1969-09-29,1969,9,29,NA
berinsonjoe1969,Perth,WA,1969-10-25,25,10,1969,No,Defeated,NA,1975-12-13,1975,12,13,NA
berrydouglas1949,Griffith,QLD,1949-12-10,10,12,1949,No,Defeated,NA,1954-05-29,1954,5,29,NA
bestrobert1910,Kooyong,VIC,1910-08-24,24,8,1910,Yes,Defeated,NA,1922-12-16,1922,12,16,NA
bevisarchibald1990,Brisbane,QLD,1990-03-24,24,3,1990,No,Defeated,NA,2010-08-21,2010,8,21,NA
bidgoodjames2007,Dawson,QLD,2007-11-24,24,11,2007,No,Retired,NA,2010-07-19,2010,7,19,NA
billsonbruce1996,Dunkley,VIC,1996-03-02,2,3,1996,No,Retired,NA,2016-05-09,2016,5,9,NA
bilneygordon1983,Kingston,SA,1983-03-05,5,3,1983,No,Defeated,NA,1996-03-02,1996,3,2,NA
birdalan1949,Batman,VIC,1949-12-10,10,12,1949,No,Died,NA,1962-07-21,1962,7,21,NA
birdsharon2004,Cunningham,NSW,2004-10-09,9,10,2004,No,NA,NA,NA,NA,NA,NA,NA
birneyreginald1975,Phillip,NSW,1975-12-13,13,12,1975,No,Defeated,NA,1983-03-05,1983,3,5,NA
birrellfrederick1963,Port Adelaide,SA,1963-11-30,30,11,1963,No,Retired,NA,1974-04-11,1974,4,11,NA
bishopbronwyn1994,Mackellar,NSW,1994-03-26,26,3,1994,Yes,Retired,NA,2016-05-09,2016,5,9,NA
bishopjulie1998,Curtin,WA,1998-10-03,3,10,1998,No,NA,NA,NA,NA,NA,NA,NA
blackburndoris1946,Bourke,VIC,1946-09-28,28,9,1946,No,Defeated,NA,1949-12-10,1949,12,10,NA
blackburnmaurice1934,Bourke,VIC,1934-09-15,15,9,1934,No,Defeated,NA,1943-08-21,1943,8,21,NA
blacklowarchibald1931,Franklin,TAS,1931-12-19,19,12,1931,No,Defeated,NA,1934-09-15,1934,9,15,NA
blackwoodrobert1903,Riverina,NSW,1903-12-16,16,12,1903,No,Voided,NA,1904-04-13,1904,4,13,NA
blainadair1934,Northern Territory,NT,1934-09-15,15,9,1934,No,Defeated,NA,1949-12-10,1949,12,10,NA
blakeleyarthur1917,Darling,NSW,1917-05-05,5,5,1917,No,Defeated,NA,1934-09-15,1934,9,15,NA
blanchardcecil1983,Moore,WA,1983-03-05,5,3,1983,No,Defeated,NA,1990-03-24,1990,3,24,NA
blandfrancis1951,Warringah,NSW,1951-04-28,28,4,1951,No,Retired,NA,1961-11-02,1961,11,2,NA
blewettneal1977,Bonython,SA,1977-12-10,10,12,1977,No,Resigned,NA,1994-02-11,1994,2,11,NA
blundellreginald1919,Adelaide,SA,1919-12-13,13,12,1919,No,Defeated,NA,1922-12-16,1922,12,16,NA
bluntcharles1984,Richmond,NSW,1984-02-18,18,2,1984,Yes,Defeated,NA,1990-03-24,1990,3,24,NA
bonnettrobert1966,Herbert,QLD,1966-11-26,26,11,1966,No,Retired,NA,1977-11-10,1977,11,10,NA
bonythonjohn1901,South Australia,SA,1901-03-30,30,3,1901,No,Until elected for Barker,1,1903-12-16,1903,12,16,NA
bonythonjohn1901,Barker,SA,1903-12-16,16,12,1903,No,Retired,NA,1906-11-05,1906,11,5,NA
bosmanleonard1963,St George,NSW,1963-11-30,30,11,1963,No,Defeated,NA,1969-10-25,1969,10,25,NA
bostockwilliam1949,Indi,VIC,1949-12-10,10,12,1949,No,Defeated,NA,1958-11-22,1958,11,22,NA
bourchierjohn1972,Bendigo,VIC,1972-12-02,2,12,1972,No,Defeated,NA,1983-03-05,1983,3,5,NA
bourkewilliam1949,Fawkner,VIC,1949-12-10,10,12,1949,No,Defeated,NA,1955-12-10,1955,12,10,NA
