original; corrected
seat Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
sector\. Can Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
set out a Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
Sierra Leone Mr VINER; Mr VINER
Sir ABTHUB EADDEN; Sir ARTHUR FADDEN
Sir AETHTTE PADDEN; Sir ARTHUR FADDEN
Sir AETHUE FADDEN; Sir ARTHUR FADDEN
Sir ARTHTJE FADDEN; Sir ARTHUR FADDEN
Sir ARTHUR EADDEN; Sir ARTHUR FADDEN
Sir CHARLES MAKE; Sir CHARLES MARR
Sir EAELE; Sir EARLE PAGE
Sir ERIC HAEEISON; Sir ERIC HARRISON
Sir FBEDEBICK STEWABT; Sir FREDERICK STEWART
Sir FREDERICK STEWABT; Sir FREDERICK STEWART
Sir HENRY GQLLETT; Sir HENRY GULLETT
Sir HENRYGULLETT; Sir HENRY GULLETT
Sir JOHN FOB-REST; Sir JOHN FORREST
Sir JOHN FORBEST; Sir JOHN FORREST
Sir JOHN POBBEST; Sir JOHN FORREST
Sir JOHN POREBST; Sir JOHN FORREST
Sir JOSEPHCOOK; Sir JOSEPH COOK
Sir JOSEPHOOOK; Sir JOSEPH COOK
Sir NEVILLEHOWSE; Sir NEVILLE HOWSE
Sir ROBEBT BEST; Sir ROBERT BEST
Sir WILLIAMIRVINE; Sir WILLIAM IRVINE
speaking to Mr HOWARD; Mr HOWARD
subject\, we Mr MAUGER; Mr MAUGER
such for Mr VINER; Mr VINER
Thank you\, Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
That Mr GBEGOBY; Mr GREGORY
That Mr JAMES; Mr JAMES
that Mr PAGE; Mr PAGE
that Mr RILEY; Mr RILEY
that Oppo Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
the ^ Mr LATHAM; Mr LATHAM
The CHAIEMAN; The CHAIRMAN
The CHAIRM AN; The CHAIRMAN
the cost of Mr DONALD CAMERON; Mr DONALD CAMERON
The DEPUTYCHAIEMAN; The DEPUTY CHAIRMAN
The DEPUTYCHAIRMAN; The DEPUTY CHAIRMAN
The FAC; NA
The kindest Mr BAUME; Mr BAUME
the Leader of the Opposition\, Mr SPEAKER; Mr SPEAKER
The Mr CADMAN; Mr CADMAN
the Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
The Mr GREGORY; Mr GREGORY
The Mr HUGHES; Mr HUGHES
The Mr LANGTRY; Mr LANGTRY
the Mr STALEY; Mr STALEY
The Prinie Mr CHARLTON; Mr CHARLTON
the ship Mr CLYDE CAMERON; Mr CLYDE CAMERON
the Sir WILLIAM MCMILLAN; Sir WILLIAM MCMILLAN
The TEMPOEAEY CHAIRMAN; The TEMPORARY CHAIRMAN
The TEMPOEAEYCHAIRMAN; The TEMPORARY CHAIRMAN
The TEMPORARY OHAIRMAN; The TEMPORARY CHAIRMAN
them to Mr CREAN; Mr CREAN
themselves Mr JOSEPH COOK; Mr JOSEPH COOK
there Mr HODGMAN; Mr HODGMAN
This is a Mr KELLY; Mr KELLY
this\, Mr SPEAKER; Mr SPEAKER
to be Mr HURFORD; Mr HURFORD
to dob him Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
to en Mr SHORT; Mr SHORT
to meet the Mr LONSDALE; Mr LONSDALE
to Mr CLYDE CAMERON; Mr CLYDE CAMERON
to Mr CREAN; Mr CREAN
to Mr LES JOHNSON; Mr LES JOHNSON
to Mr RANKIN; Mr RANKIN
to overseas Dr PATTERSON; Dr PATTERSON
to teU Mr HODGMAN; Mr HODGMAN
to this Mr SYDNEY SMITH; Mr SYDNEY SMITH
to world bank Mr BAILLIEU; Mr BAILLIEU
trade Mr SPEAKER; Mr SPEAKER
Turnbull\, W\. G\. Mr ALLAN FRASER; Mr ALLAN FRASER
Utah Mr JAMES; Mr JAMES
Val Mr WENTWORTH; Mr WENTWORTH
we came to Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
went Mr SPEAKER; Mr SPEAKER
What Mr ANSTEY; Mr ANSTEY
when Mr HOLT; Mr HOLT
which every Mr BAUME; Mr BAUME
with dire results\. Mr HODGMAN; Mr HODGMAN
With regard Mr SPEAKER; Mr SPEAKER
would Mr KING; Mr KING
wUl rise Mr MALCOLM FRASER; Mr MALCOLM FRASER
you know Mr BURCHELL; Mr BURCHELL
yourself\, Mr SPEAKER; Mr SPEAKER
Youth Mr LIONEL BOWEN; Mr LIONEL BOWEN
Mr DUGAL D THOMSON; Mr DUGALD THOMSON
Mr \'POYNTON; Mr POYNTON
M i \. AUSTIN CHAPMAN; Mr AUSTIN CHAPMAN
Mr AUSTIN \' CHAPMAN; Mr AUSTIN CHAPMAN
Mr SYDNEY SMiTH\.v; Mr SYDNEY SMITH
Mr JOSEP H COOK; Mr JOSEPH COOK
Sir\. JOHN FORREST; Sir JOHN FORREST
Mr BROWN\.\'; Mr BROWN
Mr M c LEAN; Mr MCLEAN
Mr \' WEBSTER; Mr WEBSTER
Sir WILLIAMLYNE; Sir WILLIAM LYNE
Mr DUGALD THOMSO N; Mr DUGALD THOMSON
\' Mr SPEAKER; Mr SPEAKER
\' Mr WEBSTER; Mr WEBSTER
a Mr WATSON; Mr WATSON
Mr BATCHELO R; Mr BATCHELOR
Mr RONA LD; Mr RONALD
Mr SPEAKE R; Mr SPEAKER
Sir WILLIAMLYNE; Sir WILLIAM LYNE
think I Mr SYDNEY SMITH; Mr SYDNEY SMITH
Very Mr SYDNEY SMITH; Mr SYDNEY SMITH
Sir. EDMUND BARTON; Sir EDMUND BARTON
- Mr SYDNEY\" SMITH; Mr SYDNEY SMITH
Mr L\. E\. GKOOM; Mr LE GROOM
Mr SYDNEY' SMITH; Mr SYDNEY SMITH
Mr SYDNEY" SMITH; Mr SYDNEY SMITH
Sir WILLIAM \. MCMILLAN; Sir WILLIAM MCMILLAN
Sir WILLIAMM c MILLAN; Sir WILLIAM MCMILLAN
Mr THOMSON\.*-; Mr THOMSON
Mr\.\'THOMSON; Mr THOMSON
Mr HUME COOK\.; Mr HUME COOK
Mr HENRY \"WILLIS; Mr HENRY WILLIS
Mr \. DEAKIN; Mr DEAKIN
Mr MCCA Y; Mr MCCAY
Mr DEAKrx; Mr DEAKIN
Sir EDMU ND BARTON; Sir EDMUND BARTON
Sir EDMUND BARTON\.; Sir EDMUND BARTON
Mx\ ISAACS; Mr ISAACS
Sir PHILIP PYS H; Sir PHILIP FYSH
Mr C l i OUCH; Mr CROUCH
Mr Oi-ouch\.; Mr CROUCH
Mr DEAKIN \.; Mr DEAKIN
