original; corrected
campbells bridge; campbells_bridge
carapooee west; carapooee_west
coonooer west; coonooer_west
cope cope; cope_cope
deep lead; deep_lead
fyans creek; fyans_creek
gowar east; gowar_east
grays bridge; grays_bridge
gre gre; gre_gre
gre gre north; gre_gre_north
gre gre south; gre_gre_south
great western; great_western
greens creek; greens_creek
halls gap; halls_gap
joel joel; joel_joel
joel south; joel_south
lake fyans; lake_fyans
lake lonsdale; lake_lonsdale
landsborough west; landsborough_west
marnoo east; marnoo_east
marnoo west; marnoo_west
mitchells hill; mitchells_hill
morrl morrl; morrl_morrl
mount dryden; mount_dryden
natte yallock; natte_yallock
rich avon east; rich_avon_east
rich avon west; rich_avon_west
roses gap; roses_gap
shays flat; shays_flat
slaty creek; slaty_creek
st arnaud; st_arnaud
st arnaud north; st_arnaud_north
stuart mill; stuart_mill
swanwater west; swanwater_west
traynors lagoon; traynors_lagoon
wal wal; wal_wal
wallaloo east; wallaloo_east
wattle creek; wattle_creek
york plains; york_plains
clear lake; clear_lake
dadswells bridge; dadswells_bridge
grass flat; grass_flat
lower norton; lower_norton
mckenzie creek; mckenzie_creek
mount talbot; mount_talbot
murra warra; murra_warra
st helens plains; st_helens_plains
telangatuk east; telangatuk_east
miga lake; miga_lake
powers creek; powers_creek
telopea downs; telopea_downs
gerang gerung; gerang_gerung
lake hindmarsh; lake_hindmarsh
little desert; little_desert
sheep hills; sheep_hills
wyperfield national park; wyperfield_national_park
birchip west; birchip_west
coonooer bridge; coonooer_bridge
corack east; corack_east
gil gil; gil_gil
glenloth east; glenloth_east
granite flat; granite_flat
jeffcott north; jeffcott_north
jil jil; jil_jil
laen east; laen_east
laen north; laen_north
lake tyrrell; lake_tyrrell
morton plains; morton_plains
pier milan; pier_milan
reedy dam; reedy_dam
rich avon; rich_avon
sea lake; sea_lake
teddywaddy west; teddywaddy_west
towaninny south; towaninny_south
turriff east; turriff_east
tyrrell downs; tyrrell_downs
watchem west; watchem_west
wycheproof south; wycheproof_south
yawong hills; yawong_hills
yeungroon east; yeungroon_east
big desert; big_desert
lindsay point; lindsay_point
merbein south; merbein_south
merbein west; merbein_west
neds corner; neds_corner
nichols point; nichols_point
red cliffs; red_cliffs
boundary bend; boundary_bend
castle donnington; castle_donnington
fish point; fish_point
happy valley; happy_valley
lake boga; lake_boga
lake powell; lake_powell
nyah west; nyah_west
pental island; pental_island
swan hill; swan_hill
swan hill west; swan_hill_west
tol tol; tol_tol
tresco west; tresco_west
tyntynder south; tyntynder_south
ultima east; ultima_east
wood wood; wood_wood
woorinen north; woorinen_north
woorinen south; woorinen_south
appin park; appin_park
bael bael; bael_bael
budgerum east; budgerum_east
burkes bridge; burkes_bridge
capels crossing; capels_crossing
daltons bridge; daltons_bridge
gonn crossing; gonn_crossing
kangaroo lake; kangaroo_lake
kerang east; kerang_east
lake charm; lake_charm
lake meran; lake_meran
macorna north; macorna_north
meering west; meering_west
milnes bridge; milnes_bridge
mincha west; mincha_west
murrabit west; murrabit_west
mystic park; mystic_park
pine view; pine_view
reedy lake; reedy_lake
sandhill lake; sandhill_lake
teal point; teal_point
wee wee rup; wee_wee_rup
bamawm extension; bamawm_extension
carag carag; carag_carag
echuca village; echuca_village
echuca west; echuca_west
fairy dell; fairy_dell
ky valley; ky_valley
pine grove; pine_grove
terrick terrick east; terrick_terrick_east
waranga shores; waranga_shores
wyuna east; wyuna_east
appin south; appin_south
arnold west; arnold_west
barraport west; barraport_west
bears lagoon; bears_lagoon
bridgewater north; bridgewater_north
bridgewater on loddon; bridgewater_on_loddon
burkes flat; burkes_flat
campbells forest; campbells_forest
canary island; canary_island
cochranes creek; cochranes_creek
durham ox; durham_ox
fentons creek; fentons_creek
fiery flat; fiery_flat
kamarooka north; kamarooka_north
korong vale; korong_vale
kurraca west; kurraca_west
lake marmal; lake_marmal
loddon vale; loddon_vale
murphys creek; murphys_creek
nine mile; nine_mile
powlett plains; powlett_plains
pyramid hill; pyramid_hill
richmond plains; richmond_plains
salisbury west; salisbury_west
skinners flat; skinners_flat
terrick terrick; terrick_terrick
wedderburn junction; wedderburn_junction
woodstock on loddon; woodstock_on_loddon
woodstock west; woodstock_west
woolshed flat; woolshed_flat
wychitella north; wychitella_north
bendigo east; bendigo_east
bendigo north; bendigo_north
bendigo west; bendigo_west
california gully; california_gully
diamond hill; diamond_hill
eaglehawk north; eaglehawk_north
flora hill; flora_hill
golden gully; golden_gully
golden square; golden_square
jackass flat; jackass_flat
kangaroo flat; kangaroo_flat
long gully; long_gully
quarry hill; quarry_hill
