government,topic,median,upper,lower
2,16,-1.3402312295594836,-0.9882559739920362,-1.740863425838341
2,17,0.1311351525492807,0.46777990254947627,-0.2510750301479191
2,18,-0.09802415503829251,0.29497574779324953,-0.5429053482814417
3,1,-1.1279630000653869,-0.8367371101759352,-1.44953552970145
3,2,-1.510976829603063,-1.2213562942519092,-1.8159536326978616
3,3,-1.7358962062049839,-1.452165512377124,-2.048362397343803
3,4,-0.9828582024077213,-0.6911343847044252,-1.3050619717937297
3,5,-0.3362549949079633,0.0731427343997918,-0.7658564908689991
3,6,-1.7883271289934262,-1.5187994802899791,-2.0859979963482203
3,7,-1.8410347675231624,-1.5675498207856173,-2.150561786040616
3,8,-1.4204854168100591,-1.1408759235577495,-1.7328002924664456
3,9,-1.6195484646026346,-1.3338478173405766,-1.926668055168411
3,10,-1.4122137588370025,-1.1355511274391068,-1.7171373028650412
3,11,-1.0094881297560807,-0.5902021070727086,-1.4815142133009491
3,12,-1.6201956519741627,-1.3417550939325524,-1.9280586434685523
3,13,-1.0790816670219827,-0.8039427980821863,-1.403500494803206
3,14,-0.752419567936818,-0.3468126644393389,-1.2027102184421137
3,15,-1.1875431025326284,-0.8952143335038611,-1.5182694063719222
3,16,-1.6644903939441678,-1.3757580508572758,-1.9569973901519448
3,17,-0.6494887463027754,-0.34865103165899125,-0.9603309441490534
3,18,-1.1350704345662375,-0.8207412764335309,-1.5136947492629234
4,1,-0.9934121038174109,-0.7494012294418215,-1.2584396997734792
4,2,-1.4643231708852489,-1.2304224602137364,-1.7175229462247097
4,3,-1.7341016094246928,-1.4968064471130216,-1.9936446136574395
4,4,-0.8504008300112459,-0.6109274467251182,-1.1078278638590424
4,5,0.011896561679174016,0.32243594967997824,-0.32773632070850384
4,6,-1.7969132367270797,-1.5626765035108285,-2.037141092096512
4,7,-1.8279449792083362,-1.585986885119841,-2.0792031022062933
4,8,-1.1953906067388338,-0.9327631783988072,-1.4609332039745155
4,9,-1.5973605454427307,-1.3423024475560177,-1.853637188978134
4,10,-1.5024026851200691,-1.25893307377715,-1.7668979854882667
4,11,-1.0305796074352145,-0.6973175607533092,-1.402256467798271
4,12,-1.5910413495468037,-1.3630356944557855,-1.8622551247138992
4,13,-1.4640863663628052,-1.227379162888589,-1.7190924068856615
4,14,-0.43990177121359925,-0.12742501858142066,-0.7844211792361225
4,15,-0.8625331617001705,-0.6260942087355316,-1.1440101835855905
4,16,-1.611140836638639,-1.3650664056354704,-1.8659336857452855
4,17,-0.2864792482173487,-0.059602041672794565,-0.5352086407528671
4,18,-0.9010107082584022,-0.6339373265316196,-1.2005476964956268
5,1,-1.0855445840619207,-0.9515601303504932,-1.2290017762614576
5,2,-1.7817031847161187,-1.6710773752767312,-1.9024814359213644
5,3,-1.937206001357405,-1.8237109316434053,-2.0622276802061137
5,4,-0.8278621919944344,-0.6945215680176143,-0.9789349928849284
5,5,-0.8638424302067083,-0.7469985765670869,-0.9856967402832453
5,6,-2.0232123564611197,-1.9104589239235703,-2.136748661001471
5,7,-2.0794495737085743,-1.9639080268527558,-2.200487781421334
5,8,-1.424366759393211,-1.3141549440639269,-1.5461627206502464
5,9,-1.7741147745241346,-1.660856606205164,-1.8993101759582305
5,10,-1.7164775319348822,-1.5994410147383025,-1.834582874938265
5,11,-1.012759947902755,-0.8916877302624971,-1.1356358112210776
5,12,-1.8481515202398997,-1.722944242970174,-1.9774586595472516
5,13,-1.5833484853796498,-1.4660547034757754,-1.7139275167675603
5,14,-0.42761475989390063,-0.28740723866468787,-0.5957107492967513
5,15,-1.2223596487555675,-1.1121783032476718,-1.3433634297827397
5,16,-1.8079907535808455,-1.6853652426047252,-1.9277045877491958
5,17,-0.08975502259476412,0.048027854182432564,-0.23796706029828044
5,18,-1.1239254026647325,-1.0104747468980781,-1.2467615323706864
6,1,-0.6133033495259854,-0.2519212907540146,-1.0087330376944228
6,2,-1.2695792974173252,-0.9106794436973049,-1.6376728606250142
6,3,-1.4400000281901266,-1.0681887849535596,-1.824215997094007
6,4,-0.12955536450419514,0.2357722600297499,-0.5275021438519545
6,5,0.010126325603122485,0.34790249880742674,-0.3882791765658316
