election,topic,median,upper,lower
21,13,-0.01292527920536493,0.014122862860980958,-0.0404328327213467
21,14,-0.03779431882008512,-0.011697889140650737,-0.06444923749127959
21,15,0.08236834616330349,0.10315744028965457,0.05993296924453814
21,16,-0.031475352030113785,-0.003919104648639765,-0.05932132018417367
21,17,-0.042702342664453496,-0.017479761935203553,-0.06914232985742579
21,18,-0.027098381741256745,-0.004681608129415338,-0.050946351344317464
22,1,0.013131897262103794,0.021869395699204975,0.004517288311226418
22,2,0.026918792970543736,0.03671723773391329,0.016772520394432472
22,3,-0.014729528451939582,-0.004541978735360917,-0.02527265112240087
22,4,-0.0042082133057948275,0.005809626749894598,-0.014108380730543112
22,5,-0.013408275144699482,-0.004325937941803742,-0.02288427742523995
22,6,-0.012546276819820946,-0.002142756681472656,-0.022664841506277233
22,7,-0.007529926322075232,0.002806442698740494,-0.01829531793699061
22,8,0.0015617211694751638,0.011867804122265414,-0.008345991444052714
22,9,0.0015335597465912013,0.011818591826607504,-0.008269241254683096
22,10,-0.0036949216284720586,0.0061999706105597685,-0.01371666095910189
22,11,-0.017250502303646238,-0.0071465752565424865,-0.02763533331610677
22,12,-0.013493208478160648,-0.0032465159557973494,-0.023655397378998768
22,13,0.0015989558802503975,0.011179517801039495,-0.008925342006810692
22,14,-0.004272447622015158,0.00525337529667838,-0.01393419356239079
22,15,0.001548496099788714,0.010583308293916509,-0.007875813267709902
22,16,0.005051896236018535,0.015114542117120036,-0.004835291840180714
22,17,-0.006460595731826069,0.002610345578252932,-0.015894123303149293
22,18,-0.003961105277376438,0.00438550710177588,-0.011996391718867298
23,1,-0.0023525366477951185,0.006501646316630811,-0.01107756428957681
23,2,0.026906116283304398,0.036315398516831014,0.017198692606605486
23,3,-0.012381978691138627,-0.0017416180635898921,-0.02322901622243286
23,4,-0.013491896423748857,-0.003139680679528761,-0.023718098972590362
23,5,-0.024096404828080932,-0.013982661634968979,-0.03382484496719268
23,6,-0.005596491511697022,0.004984467366890686,-0.016163024838203782
23,7,-0.005366263938035969,0.00568970372542867,-0.016185370144789737
23,8,0.001723152397274799,0.011918374712129065,-0.008523206612779369
23,9,-0.0073755196786764975,0.003156596306927238,-0.017963020492884268
23,10,0.00940117520115902,0.019991315163180187,-0.0012753115745434832
23,11,-0.011485359616143621,-0.0010015568683493445,-0.022092751779876376
23,12,-0.010282383145584953,4.920835230883833e-4,-0.020432611135274528
23,13,-0.00655903300411938,0.0039015612927003757,-0.016832836561532873
23,14,-0.0018600381637472164,0.007950366376513454,-0.0118479855576143
23,15,-0.04759300971982232,-0.03751306326992348,-0.05784463273998902
23,16,0.018187546022760737,0.02799766806853555,0.007989810235895158
23,17,-0.012981589721454318,-0.0035288883848003986,-0.022481005381011058
23,18,-0.006811925912444649,0.001963298501310139,-0.01550333271819014
24,1,0.05271075273785471,0.06561358437789246,0.039465888139809974
24,2,0.037208989612195445,0.051598794089731406,0.02271970841229514
24,3,0.005175533551663293,0.02045272003152077,-0.01096968342288143
24,4,0.007812728039076546,0.022754448439912332,-0.007063188371020117
24,5,-0.03305627289769368,-0.018894374455518403,-0.0478914695138289
24,6,0.007700683765948724,0.022917710768829255,-0.00830700141721607
24,7,-0.0011053922956653153,0.014540189734392391,-0.017461283523972408
24,8,0.00767537993060957,0.02319335688700756,-0.008678743862000184
24,9,0.00864295165557264,0.02404441681270248,-0.006924923534276578
24,10,0.025813354468170895,0.04046392055072874,0.010442498849807918
24,11,-0.033576127347010355,-0.017826525705582637,-0.05018037830510771
24,12,-7.000930050725437e-4,0.015101826966214633,-0.016723748163996487
24,13,0.0021104490544275067,0.017914803078437992,-0.01396502453002062
24,14,-0.008754201874152599,0.006573616722559718,-0.024601609168686797
24,15,-0.040627899771687744,-0.02508223945217117,-0.05583664995356125
24,16,0.019433700599237963,0.0347100364767651,0.0033634236594664536
24,17,0.039057053253744214,0.052454888289957084,0.02547616177916248
24,18,0.03614970420324926,0.04916231936833205,0.023570473044876295
25,1,-0.013754360475674542,-0.0059750695975713105,-0.02192872831525735
25,2,0.001454547856224593,0.010796890493439711,-0.008407959297592645
25,3,5.41326078944668e-4,0.010093635972631998,-0.008972868414529081
25,4,-0.0022269847038871513,0.00663264736485473,-0.010878374787132954
25,5,-0.00983172057790095,-0.0016256181749366105,-0.01781123402769417
25,6,0.018547438019634776,0.027333196013892832,0.009595654250076193
25,7,1.2013029481157053e-4,0.009307720257228782,-0.009154389122830217
25,8,-0.006106912621756815,0.0026688189818061822,-0.015116228373910905
