date,Chamber,PdfDocId,chamber_type,URL,file_name
1907-07-08,Legislative Assembly,HANSARD-290296563-3164,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3164,NSW-1907-07-08-A.pdf
1907-07-05,Legislative Assembly,HANSARD-290296563-3163,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3163,NSW-1907-07-05-A.pdf
1907-07-04,Legislative Assembly,HANSARD-290296563-3162,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3162,NSW-1907-07-04-A.pdf
1907-07-04,Legislative Council,HANSARD-290296563-7064,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7064,NSW-1907-07-04-C.pdf
1907-07-03,Legislative Assembly,HANSARD-290296563-3161,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3161,NSW-1907-07-03-A.pdf
1907-07-03,Legislative Council,HANSARD-290296563-7063,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7063,NSW-1907-07-03-C.pdf
1907-07-02,Legislative Assembly,HANSARD-290296563-3160,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3160,NSW-1907-07-02-A.pdf
1907-07-02,Legislative Council,HANSARD-290296563-7062,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7062,NSW-1907-07-02-C.pdf
1908-12-18,Legislative Council,HANSARD-290296563-7134,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7134,NSW-1908-12-18-C.pdf
1908-12-17,Legislative Council,HANSARD-290296563-7133,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7133,NSW-1908-12-17-C.pdf
1908-12-16,Legislative Council,HANSARD-290296563-7132,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7132,NSW-1908-12-16-C.pdf
1908-12-15,Legislative Council,HANSARD-290296563-7131,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7131,NSW-1908-12-15-C.pdf
1908-12-14,Legislative Assembly,HANSARD-290296563-3276,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3276,NSW-1908-12-14-A.pdf
1908-12-11,Legislative Council,HANSARD-290296563-7130,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7130,NSW-1908-12-11-C.pdf
1908-12-10,Legislative Council,HANSARD-290296563-7129,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7129,NSW-1908-12-10-C.pdf
1908-12-09,Legislative Assembly,HANSARD-290296563-3275,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3275,NSW-1908-12-09-A.pdf
1908-12-09,Legislative Council,HANSARD-290296563-7128,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7128,NSW-1908-12-09-C.pdf
1908-12-08,Legislative Assembly,HANSARD-290296563-3274,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3274,NSW-1908-12-08-A.pdf
1908-12-08,Legislative Council,HANSARD-290296563-7127,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7127,NSW-1908-12-08-C.pdf
1908-12-07,Legislative Assembly,HANSARD-290296563-3273,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3273,NSW-1908-12-07-A.pdf
1908-12-04,Legislative Assembly,HANSARD-290296563-3272,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3272,NSW-1908-12-04-A.pdf
1908-12-04,Legislative Council,HANSARD-290296563-7126,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7126,NSW-1908-12-04-C.pdf
1908-12-03,Legislative Assembly,HANSARD-290296563-3271,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3271,NSW-1908-12-03-A.pdf
1908-12-03,Legislative Council,HANSARD-290296563-7125,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7125,NSW-1908-12-03-C.pdf
1908-12-02,Legislative Assembly,HANSARD-290296563-3270,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3270,NSW-1908-12-02-A.pdf
1908-12-02,Legislative Council,HANSARD-290296563-7124,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7124,NSW-1908-12-02-C.pdf
1908-12-01,Legislative Assembly,HANSARD-290296563-3269,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3269,NSW-1908-12-01-A.pdf
